bed_number,timestamp_start,timestamp_end,hfr_count,mfr_count
1,1619836842,1619837499,4,1
1,1619856956,1619857388,2,0
1,1619867765,1619867960,3,1
1,1619875135,1619876125,4,5
1,1619885416,1619885924,0,5
1,1619910006,1619910201,1,5
1,1619929178,1619929457,4,5
1,1619937498,1619937515,2,3
1,1619944177,1619944361,4,1
1,1619953741,1619954360,1,3
1,1619972067,1619972915,0,1
1,1619978175,1619979120,1,4
1,1619988924,1619989542,3,1
1,1619997805,1619998297,0,4
1,1620002843,1620003046,5,2
1,1620015777,1620015927,3,2
1,1620026974,1620027964,2,0
1,1620032244,1620032820,0,1
1,1620036884,1620037794,0,0
1,1620062208,1620062578,1,0
1,1620071660,1620071837,0,4
1,1620075902,1620076559,0,2
1,1620085873,1620086661,4,1
2,1619924106,1619924487,0,4
2,1619944220,1619944529,5,3
2,1619955029,1619955080,4,2
2,1619972680,1619972862,1,3
2,1619997270,1619998332,3,3
2,1620016442,1620016505,4,5
2,1620024762,1620025182,0,3
2,1620031441,1620031574,0,2
2,1620041005,1620041209,0,1
2,1620059331,1620059474,4,1
2,1620065439,1620065904,3,0
2,1620085069,1620085215,5,2
2,1620090107,1620090286,0,4
2,1620103041,1620103584,3,0
2,1620114238,1620114357,0,3
2,1620119508,1620119522,5,4
2,1620124148,1620124484,4,0
2,1620149472,1620149784,2,0
2,1620158924,1620159537,2,1
2,1620163166,1620164331,3,2
2,1620173137,1620173462,0,4
3,1620011370,1620011708,2,4
3,1620031484,1620032429,2,2
3,1620042293,1620042633,1,3
3,1620049663,1620050274,4,3
3,1620059944,1620060881,3,1
3,1620084534,1620085143,0,4
3,1620103706,1620104902,1,5
3,1620112026,1620112986,2,1
3,1620118705,1620119751,4,3
3,1620128269,1620129418,1,2
3,1620146595,1620146992,5,4
3,1620152703,1620152938,5,4
3,1620163452,1620164537,3,0
3,1620172333,1620172382,3,0
3,1620177371,1620177439,2,4
3,1620190305,1620190403,2,4
3,1620201502,1620202010,5,4
3,1620206772,1620207198,3,1
3,1620211412,1620212289,3,0
3,1620236736,1620237422,0,5
3,1620246188,1620246930,0,5
3,1620250430,1620250630,1,4
3,1620260401,1620261599,2,0
4,1620098634,1620098782,4,2
4,1620118748,1620119930,1,4
4,1620129557,1620130686,0,0
4,1620147208,1620147348,4,1
4,1620171798,1620171926,3,4
4,1620190970,1620191259,0,4
4,1620199290,1620199334,5,0
4,1620205969,1620206768,2,0
4,1620215533,1620215765,0,3
4,1620233859,1620234266,0,4
4,1620250716,1620251744,0,3
4,1620259597,1620259686,5,5
4,1620264635,1620265689,1,5
4,1620277569,1620278081,0,5
4,1620288766,1620289270,3,3
4,1620294036,1620294302,5,0
4,1620298676,1620298774,5,2
4,1620324000,1620325059,2,5
4,1620333452,1620334080,2,4
4,1620337694,1620338624,4,0
4,1620347665,1620347857,2,5
5,1620278234,1620278833,0,1
5,1620286554,1620287063,0,2
5,1620293233,1620294393,0,2
5,1620302797,1620303208,1,2
5,1620321123,1620321245,1,4
5,1620327231,1620327892,5,2
5,1620337980,1620338328,3,1
5,1620346861,1620347425,4,4
5,1620351899,1620352562,5,0
5,1620364833,1620365260,2,0
5,1620376030,1620377002,4,2
5,1620381300,1620382211,3,1
5,1620385940,1620386515,2,5
5,1620411264,1620412272,0,3
5,1620420716,1620421719,4,4
5,1620424958,1620426128,1,4
5,1620434929,1620435860,1,4
6,1620321736,1620322607,1,2
6,1620346326,1620346530,5,2
6,1620365498,1620366163,0,1
6,1620373818,1620373923,3,5
6,1620380497,1620381301,2,0
6,1620390061,1620390732,3,1
6,1620408387,1620408910,0,3
6,1620414495,1620414636,0,1
6,1620425244,1620425811,5,3
6,1620434125,1620434215,1,4
6,1620473204,1620473498,5,2
6,1620498528,1620498612,2,4
6,1620507980,1620508439,4,4
6,1620512222,1620512510,4,5
6,1620522193,1620522197,5,5
7,1620409000,1620409756,4,5
7,1620433590,1620433915,4,3
7,1620452762,1620453009,4,5
7,1620461082,1620461427,4,1
7,1620467761,1620468309,4,3
7,1620477325,1620478077,1,2
7,1620495651,1620496171,5,5
7,1620501759,1620502931,3,1
7,1620512508,1620512889,1,4
7,1620521389,1620521930,4,1
7,1620599486,1620600652,1,4
7,1620609457,1620609703,5,1
8,1620447690,1620448702,2,4
8,1620467804,1620467913,0,2
8,1620478613,1620478727,4,3
8,1620485983,1620486860,0,2
8,1620496264,1620496640,3,4
8,1620520854,1620521214,2,0
8,1620540026,1620541007,5,1
8,1620548346,1620549338,3,2
8,1620555025,1620555573,2,1
8,1620564589,1620564962,1,3
8,1620582915,1620583531,3,0
8,1620589023,1620589747,5,5
8,1620599772,1620600394,3,0
8,1620608653,1620609014,1,1
8,1620613691,1620614176,3,2
8,1620626625,1620627221,1,0
8,1620637822,1620638312,5,1
8,1620643092,1620644162,5,0
8,1620647732,1620648216,2,2
8,1620673056,1620673457,4,0
8,1620682508,1620683262,3,2
8,1620686750,1620687387,1,1
8,1620696721,1620697213,5,2
9,1620534954,1620535923,2,4
9,1620555068,1620555111,3,2
9,1620565877,1620566629,4,1
9,1620573247,1620574114,5,4
9,1620583528,1620583561,0,1
9,1620608118,1620608907,4,5
9,1620627290,1620627471,5,3
9,1620635610,1620636620,3,4
9,1620642289,1620642315,4,4
9,1620651853,1620652542,1,2
9,1620670179,1620670602,5,2
9,1620676287,1620677452,0,3
9,1620687036,1620687998,1,4
9,1620695917,1620696590,2,2
9,1620700955,1620701622,1,0
9,1620713889,1620714580,3,0
9,1620725086,1620725092,5,0
9,1620730356,1620731489,4,1
9,1620734996,1620735620,3,5
9,1620760320,1620760665,5,3
9,1620769772,1620769962,4,3
9,1620774014,1620775214,0,5
9,1620783985,1620784737,3,4
10,1620622218,1620623030,1,5
10,1620642332,1620642918,5,0
10,1620653141,1620653551,2,0
10,1620670792,1620671524,1,3
10,1620695382,1620696515,5,0
10,1620714554,1620715460,0,0
10,1620722874,1620723206,1,3
10,1620729553,1620729687,4,2
10,1620739117,1620739117,1,2
10,1620763551,1620764355,0,4
10,1620774300,1620775450,4,0
10,1620783181,1620783608,0,3
10,1620788219,1620788868,1,5
10,1620801153,1620802208,3,5
10,1620812350,1620812862,3,4
10,1620817620,1620818643,4,2
10,1620822260,1620822597,0,2
10,1620847584,1620848044,5,5
10,1620861278,1620862231,3,1
10,1620871249,1620872193,2,5
11,1620740405,1620740959,2,4
11,1620747775,1620748171,0,2
11,1620801818,1620802318,2,1
11,1620810138,1620810950,3,5
11,1620816817,1620817464,0,4
11,1620826381,1620826500,4,4
11,1620850815,1620851439,1,1
11,1620861564,1620861692,0,2
11,1620870445,1620871629,2,1
11,1620875483,1620876466,0,3
11,1620888417,1620888578,0,1
11,1620944300,1620945133,2,2
11,1620948542,1620949427,2,1
11,1620958513,1620959119,5,2
12,1620796746,1620797298,4,2
12,1620816860,1620817213,1,3
12,1620827669,1620828384,2,1
12,1620835039,1620836109,1,2
12,1620845320,1620845891,3,2
12,1620869910,1620870841,1,5
12,1620889082,1620889995,5,0
12,1620897402,1620898116,0,4
12,1620904081,1620904859,5,5
12,1620913645,1620914160,1,5
12,1620931971,1620933088,5,3
12,1620938079,1620938552,5,0
12,1620948828,1620949333,5,0
12,1620957709,1620957743,0,2
12,1620962747,1620963703,5,0
12,1620975681,1620976515,1,1
12,1620986878,1620987922,5,2
12,1620992148,1620993167,3,2
12,1620996788,1620997767,1,4
12,1621022112,1621023173,3,0
12,1621031564,1621032657,2,5
12,1621035806,1621036831,1,2
12,1621045777,1621046769,1,5
13,1620884010,1620884040,1,1
13,1620904124,1620904846,5,1
13,1620914933,1620915547,0,5
13,1620922303,1620922567,3,1
13,1620932584,1620933776,0,4
13,1620957174,1620958205,3,2
13,1620976346,1620976486,4,1
13,1620984666,1620984909,5,1
13,1620991345,1620991448,4,4
13,1621000909,1621001611,1,2
13,1621019235,1621019417,0,1
13,1621025343,1621026180,2,2
13,1621036092,1621036420,5,3
13,1621044973,1621046131,0,4
13,1621050011,1621050851,5,5
13,1621062945,1621063341,5,4
13,1621074142,1621074713,3,1
13,1621079412,1621079462,0,2
13,1621084052,1621084140,0,0
13,1621109376,1621109950,4,2
13,1621118828,1621119543,0,2
13,1621123070,1621123445,4,2
13,1621133041,1621133949,2,2
14,1620971274,1620971997,1,1
14,1620991388,1620992350,0,5
14,1621002197,1621003344,3,3
14,1621009567,1621010093,3,2
14,1621019848,1621020901,2,4
14,1621044438,1621045216,5,4
14,1621063610,1621063768,3,4
14,1621071930,1621072918,0,5
14,1621078609,1621078743,5,2
14,1621088173,1621089009,0,4
14,1621106499,1621107562,3,5
14,1621112607,1621113118,3,4
14,1621123356,1621123777,4,3
14,1621132237,1621133126,1,1
14,1621137275,1621137808,2,1
14,1621150209,1621151028,5,0
14,1621161406,1621162549,5,3
14,1621166676,1621167273,2,1
14,1621171316,1621171490,1,1
14,1621196640,1621196922,4,0
14,1621206092,1621207161,4,1
14,1621210334,1621211100,0,0
14,1621220305,1621220964,1,0
15,1621058538,1621059672,5,1
15,1621078652,1621078767,4,5
15,1621089461,1621090100,5,0
15,1621096831,1621097542,3,2
15,1621107112,1621108230,4,4
15,1621199871,1621200527,2,0
15,1621210620,1621210775,5,4
15,1621219501,1621220020,1,4
15,1621224539,1621225681,4,0
15,1621237473,1621238338,5,5
15,1621248670,1621249294,2,4
15,1621253940,1621255057,4,2
15,1621258580,1621258659,3,1
15,1621283904,1621284067,0,5
15,1621293356,1621293441,2,4
15,1621297598,1621298364,0,4
15,1621307569,1621307886,3,4
16,1621145802,1621146944,5,2
16,1621165916,1621166474,2,0
16,1621176725,1621176877,0,2
16,1621184095,1621184271,4,2
16,1621194376,1621194955,0,5
16,1621218966,1621219178,0,1
16,1621238138,1621238354,2,0
16,1621246458,1621246876,3,0
16,1621253137,1621253775,0,5
16,1621262701,1621263318,0,0
16,1621281027,1621281973,5,4
16,1621287135,1621287858,5,2
16,1621297884,1621298236,1,3
16,1621306765,1621306911,5,5
16,1621311803,1621312733,1,0
16,1621324737,1621324947,1,2
16,1621335934,1621336835,2,4
16,1621341204,1621341310,0,3
16,1621345844,1621346318,4,0
16,1621371168,1621371682,3,2
16,1621380620,1621380758,2,2
16,1621384862,1621385361,5,2
16,1621394833,1621395126,5,4
17,1621233066,1621233431,5,4
17,1621253180,1621254003,3,4
17,1621263989,1621264782,1,4
17,1621271359,1621271565,1,2
17,1621281640,1621282034,5,0
17,1621306230,1621306699,1,4
17,1621325402,1621325733,3,0
17,1621333722,1621334441,5,4
17,1621340401,1621341331,3,5
17,1621428468,1621428653,3,3
17,1621433108,1621434003,3,1
17,1621458432,1621459353,5,5
17,1621467884,1621468185,0,2
17,1621472126,1621472370,3,0
17,1621482097,1621482178,2,1
18,1621320330,1621321470,1,3
18,1621340444,1621340970,3,5
18,1621351253,1621352340,4,2
18,1621358623,1621358885,2,2
18,1621368904,1621370007,0,3
18,1621393494,1621394206,2,5
18,1621412666,1621413297,0,3
18,1621420986,1621421484,5,5
18,1621427665,1621428188,5,1
18,1621437229,1621437522,0,5
18,1621461663,1621462243,1,3
18,1621472412,1621472738,2,5
18,1621481293,1621482270,5,5
18,1621486331,1621487165,1,5
18,1621499265,1621499280,2,3
18,1621510462,1621510805,0,5
18,1621515732,1621516392,5,1
18,1621520372,1621520841,1,4
18,1621545696,1621545804,1,2
18,1621555148,1621555335,1,1
18,1621559390,1621559461,2,4
18,1621569361,1621570296,1,0
19,1621407594,1621408742,3,0
19,1621427708,1621428080,4,1
19,1621438517,1621439711,3,3
19,1621445887,1621446915,3,0
19,1621456168,1621456547,4,2
19,1621480758,1621480823,1,2
19,1621499930,1621500651,4,2
19,1621508250,1621508597,3,3
19,1621514929,1621515031,0,3
19,1621524493,1621524875,4,1
19,1621542819,1621543068,2,3
19,1621548927,1621549697,5,5
19,1621559676,1621559724,0,5
19,1621568557,1621569332,5,1
19,1621573595,1621573967,0,3
19,1621586529,1621587435,0,0
19,1621597726,1621598778,4,1
19,1621602996,1621603985,4,0
19,1621607636,1621608358,2,0
19,1621632960,1621633929,2,1
19,1621642412,1621642595,5,4
19,1621646654,1621647143,5,2
19,1621656625,1621657113,1,0
20,1621494858,1621495847,5,5
20,1621514972,1621515222,0,1
20,1621525781,1621526703,0,4
20,1621533151,1621534341,0,4
20,1621543432,1621544229,0,2
20,1621568022,1621568874,3,4
20,1621587194,1621587625,2,1
20,1621595514,1621595855,5,1
20,1621602193,1621602197,4,5
20,1621611757,1621612497,2,4
20,1621630083,1621630294,2,3
20,1621636191,1621636820,2,4
20,1621646940,1621647525,1,0
20,1621655821,1621655982,4,5
20,1621660859,1621661872,0,0
20,1621673793,1621674001,0,1
20,1621684990,1621686172,0,4
20,1621690260,1621691226,4,2
20,1621694900,1621695860,4,4
20,1621720224,1621721336,5,5
20,1621729676,1621729785,4,1
20,1621733918,1621734890,3,3
20,1621743889,1621744111,3,1
21,1621582122,1621582886,5,4
21,1621602236,1621602980,5,3
21,1621613045,1621613448,5,0
21,1621620415,1621620756,0,2
21,1621630696,1621631118,0,4
21,1621655286,1621655435,1,5
21,1621674458,1621674962,2,2
21,1621682778,1621682818,0,4
21,1621689457,1621690382,1,0
21,1621699021,1621699276,4,1
21,1621717347,1621718282,2,1
21,1621723455,1621723838,0,1
21,1621734204,1621734321,2,4
21,1621743085,1621743384,1,2
21,1621748123,1621748392,3,0
21,1621761057,1621761418,4,1
21,1621772254,1621772540,5,2
21,1621777524,1621778622,3,5
21,1621782164,1621782218,2,0
21,1621807488,1621808147,0,5
21,1621816940,1621817201,0,3
21,1621821182,1621822189,1,1
21,1621831153,1621831888,5,5
22,1621669386,1621669898,5,1
22,1621689500,1621690635,4,0
22,1621700309,1621700984,5,1
22,1621707679,1621708489,5,0
22,1621717960,1621718096,2,1
22,1621742550,1621742939,3,3
22,1621761722,1621762168,5,2
22,1621770042,1621770387,1,5
22,1621776721,1621777799,4,5
22,1621786285,1621786502,3,5
22,1621864788,1621865927,1,4
22,1621869428,1621869823,1,3
22,1621894752,1621895473,5,3
22,1621904204,1621905013,3,3
22,1621908446,1621908821,4,1
22,1621918417,1621918425,1,5
23,1621756650,1621756950,3,4
23,1621776764,1621776881,4,3
23,1621787573,1621787770,3,4
23,1621794943,1621795993,1,4
23,1621805224,1621806202,0,0
23,1621829814,1621830987,4,2
23,1621848986,1621850034,3,4
23,1621857306,1621857391,1,1
23,1621863985,1621865181,4,3
23,1621873549,1621874208,0,4
23,1621891875,1621892707,2,3
23,1621897983,1621898466,0,2
23,1621908732,1621908815,1,5
23,1621917613,1621918777,2,1
23,1621922651,1621923743,5,4
23,1621935585,1621936440,4,3
23,1621946782,1621947590,2,1
23,1621952052,1621952102,3,4
23,1621956692,1621957262,4,1
23,1621982016,1621982858,1,2
23,1621991468,1621992109,5,4
23,1621995710,1621996649,4,0
23,1622005681,1622005918,3,4
24,1621843914,1621845004,3,5
24,1621864028,1621865174,4,4
24,1621874837,1621875665,3,4
24,1621882207,1621882957,2,0
24,1621892488,1621893463,0,2
24,1621917078,1621917196,3,0
24,1621936250,1621937392,5,2
24,1621944570,1621945145,4,4
24,1621951249,1621951899,1,2
24,1621960813,1621961131,5,0
24,1621995996,1621996271,0,5
24,1622004877,1622005791,0,2
24,1622009915,1622010071,0,2
24,1622022849,1622023738,3,3
24,1622034046,1622034822,5,4
24,1622039316,1622039789,1,1
24,1622043956,1622044112,2,5
24,1622069280,1622069715,4,2
24,1622078732,1622079207,2,3
24,1622082974,1622084135,2,2
24,1622092945,1622093926,5,3
25,1622048077,1622048705,5,4
25,1622066403,1622067315,0,4
25,1622072511,1622072692,3,2
25,1622083260,1622083350,4,5
25,1622092141,1622092286,0,1
25,1622097179,1622098061,5,3
25,1622110113,1622111257,3,4
25,1622121310,1622121760,5,5
25,1622126580,1622126732,1,0
25,1622131220,1622132096,1,0
25,1622156544,1622156729,1,5
25,1622165996,1622166806,5,5
25,1622170238,1622170345,2,2
25,1622180209,1622180265,5,0
26,1622018442,1622019555,0,0
26,1622038556,1622038670,0,3
26,1622056735,1622057922,4,0
26,1622067016,1622067796,5,4
26,1622091606,1622092149,1,3
26,1622119098,1622119912,0,4
26,1622125777,1622126326,3,3
26,1622135341,1622135363,2,3
26,1622159775,1622160150,4,4
26,1622170524,1622171440,3,3
26,1622179405,1622180111,1,4
26,1622184443,1622184818,2,1
26,1622208574,1622209043,3,0
26,1622213844,1622214137,0,2
26,1622218484,1622218984,3,2
26,1622253260,1622253550,3,4
26,1622257502,1622258561,5,2
27,1622105706,1622105942,1,1
27,1622125820,1622125971,2,5
27,1622136629,1622136696,4,2
27,1622143999,1622144334,2,5
27,1622154280,1622154910,3,1
27,1622178870,1622179409,0,0
27,1622213041,1622214117,5,2
27,1622222605,1622222875,4,1
27,1622240931,1622241703,1,3
27,1622247039,1622247810,1,3
27,1622271707,1622272569,0,3
27,1622284641,1622284855,4,3
27,1622295838,1622296347,3,0
27,1622331072,1622331454,1,5
27,1622340524,1622340992,5,3
28,1622192970,1622193679,0,4
28,1622213084,1622213224,4,2
28,1622223893,1622224390,5,5
28,1622231263,1622231463,0,1
28,1622241544,1622241868,4,5
28,1622266134,1622267071,2,4
28,1622285306,1622285924,1,5
28,1622293626,1622293662,2,3
